2026/01/22 13:03:57 Using database: /Users/ahmedhamid/Documents/FastCRM/FastCRM/fastcrm/fastcrm.db
2026/01/22 13:03:57 WARNING: Using default JWT secret. Set JWT_SECRET in production!
2026/01/22 13:03:57 Starting FastCRM API on port 8080

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.0                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ........... 193  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 4245 │ 
 └───────────────────────────────────────────────────┘ 

13:03:58 | 200 |    3.783667ms | 127.0.0.1 | GET | /api/v1/navigation | -
13:03:58 | 200 |    3.779291ms | 127.0.0.1 | GET | /api/v1/admin/entities/Case | -
13:03:58 | 200 |    3.898666ms | 127.0.0.1 | GET | /api/v1/admin/entities/Case/fields | -
13:04:06 | 401 |      14.875µs | 127.0.0.1 | GET | /api/v1/admin/entities/Case | -
13:04:10 | 200 |     158.958µs | 127.0.0.1 | GET | /api/v1/admin/entities/Case | -
13:04:10 | 200 |     304.917µs | 127.0.0.1 | GET | /api/v1/admin/entities/Case/fields | -
13:04:10 | 200 |      957.75µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:04:25 | 200 |     706.042µs | 127.0.0.1 | PATCH | /api/v1/admin/entities/Case | -
13:04:41 | 200 |     571.708µs | 127.0.0.1 | PATCH | /api/v1/admin/entities/Case | -
13:04:51 | 200 |     205.166µs | 127.0.0.1 | GET | /api/v1/admin/entities | -
13:04:51 | 200 |     107.958µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:05:06 | 201 |    1.401416ms | 127.0.0.1 | POST | /api/v1/admin/entities | -
13:05:11 | 200 |         115µs | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject | -
13:05:11 | 200 |      174.25µs | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject/fields | -
13:05:11 | 200 |    1.132667ms | 127.0.0.1 | GET | /api/v1/navigation | -
13:05:28 | 200 |     522.958µs | 127.0.0.1 | PATCH | /api/v1/admin/entities/TestObject | -
13:07:07 | 200 |     177.708µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:15 | 200 |         134µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:25 | 200 |     129.458µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:35 | 200 |     116.792µs | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject | -
13:08:35 | 200 |     120.541µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:35 | 200 |    1.207417ms | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject/fields | -
13:08:45 | 200 |     116.875µs | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject | -
13:08:45 | 200 |     114.333µs | 127.0.0.1 | GET | /api/v1/admin/entities/TestObject/fields | -
13:08:45 | 200 |     895.041µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:53 | 200 |       108.5µs | 127.0.0.1 | GET | /api/v1/admin/entities/Case | -
13:08:53 | 200 |     114.959µs | 127.0.0.1 | GET | /api/v1/navigation | -
13:08:53 | 200 |     876.375µs | 127.0.0.1 | GET | /api/v1/admin/entities/Case/fields | -
13:11:57 | 200 |      147.75µs | 127.0.0.1 | GET | /api/v1/admin/entities | -
13:11:58 | 200 |     391.875µs | 127.0.0.1 | GET | /api/v1/entities/Case/def | -
13:11:58 | 200 |     666.792µs | 127.0.0.1 | GET | /api/v1/entities/Case/fields | -
13:11:58 | 200 |    1.627375ms | 127.0.0.1 | GET | /api/v1/entities/Case/layouts/list | -
13:11:58 | 200 |    1.650667ms | 127.0.0.1 | GET | /api/v1/entities/Case/records | -
